allstar,name,fg_per_g,ws_per_48,mp_per_g,ft_per_g,fg_pct_03_10,def_rtg,usg_pct,pf_per_poss,ast_pct,ows,fga_per_g
-1,Mo Williams,5,0.026,30.8,2.6,0.402,113,24.7,4.3,36.9,0.4,12.6
-1,Mo Williams,5,0.093,28.3,1.4,0.412,109,22.9,3.8,18.5,2.2,11.8
-1,Mo Williams,5,0.062,30.8,1.6,0.365,111,22.3,3.9,33.2,1.2,11.6
-1,Mo Williams,3.8,0.056,24.8,1.1,0.411,110,20.5,5.4,26.7,1,9.1
-1,Mo Williams,5,0.052,29.1,2.4,0.424,112,25.2,4.2,37.4,1.6,12.6
-1,Mo Williams,3.2,0.067,18.2,0.9,0.379,108,22.8,4.1,21.1,0.4,7.4
-1,Nick Young,6.4,0.065,31.8,2.9,0.372,114,24.4,3.6,6.6,2.3,14.6
-1,Nick Young,5.1,0.053,27.9,2.3,0.2,110,24.5,4.3,5.7,1.4,12.6
-1,Nick Young,3.8,0.079,23.9,1.8,0.351,109,21.2,3.1,9.7,1.4,9.2
-1,Nick Young,6,0.067,28.3,3.7,0.395,114,26.8,4.2,9,2.3,13.9
-1,Nick Young,4.1,0.058,23.8,3.1,0.094,113,26,4.2,6.9,1.1,11.3
-1,Nick Young,2.3,0.003,19.1,1.2,0.25,115,18.5,2.4,5.4,0.1,6.9
-1,Alan Williams,1,0.146,6.8,0.9,0.444,97,22.6,10.7,11.7,0.1,2.4
-1,Andrew Wiggins,6.1,0.034,36.2,4.3,0.347,114,22.6,3.3,9.8,2.1,13.9
-1,Andrew Wiggins,7.3,0.069,35.1,5.3,0.456,113,27.2,2.9,10.1,3.4,16
-1,Ish Smith,1,-0.016,10.3,0.3,0.405,109,15.9,4.3,25.5,-0.5,2.7
-1,Ish Smith,1.2,0.062,9,0.3,0.433,103,19.6,3.4,29.2,0,3.1
-1,Ish Smith,1.1,-0.04,9.9,0.1,0.419,108,17.4,2.6,25,-0.8,3.1
-1,Ish Smith,1.7,0.048,14.4,0.3,0.37,107,15.9,3.3,26,0,4
-1,Ish Smith,2.6,-0.006,15.1,0.6,0.346,107,24.6,3,40.7,-0.9,6.7
-1,Ish Smith,5.2,0.027,29.1,1.6,0.341,110,23.9,2.9,38.3,0,12.6
-1,Axel Toupane,1.2,0.049,14.5,0.6,0,111,12,6.6,7,0.2,3.3
1,Rajon Rondo,4.7,0.126,37.2,1.1,0.318,100,18.3,2.5,47.1,1.8,9.9
1,Rajon Rondo,4.8,0.121,36.9,2,0.297,99,20.7,2.7,52.5,1.5,10.8
1,Rajon Rondo,5.9,0.108,37.4,1.6,0.427,103,21.7,3.5,49.3,1.2,12.2
-1,Rajon Rondo,4.7,0.054,33.3,1.4,0.324,107,21.3,3.4,47.7,0.2,11.7
-1,Rajon Rondo,4,0.037,29.7,0.5,0.348,105,19.5,3.8,39.3,-0.7,9.5
-1,Rajon Rondo,4.9,0.087,35.2,1.2,0.377,107,18.8,3.3,48,2.3,10.9
-1,Jeff Withey,1.2,0.128,11.8,0.9,0.4,108,12,5.6,5.6,1.2,2.2
-1,Jeff Withey,0.9,0.149,7,0.9,0.278,105,17.3,5.3,6.4,0.5,1.7
-1,Jeff Withey,1.7,0.171,12.9,0.8,0.405,99,15.1,6,5,1.1,3.2
-1,Marcus Thornton,4.8,0.095,24.3,2,0.373,108,24.9,3.2,13.2,1.9,11.1
-1,Marcus Thornton,6.9,0.103,34.9,2.8,0.358,112,23.4,3.2,9.4,3.7,15.7
-1,Marcus Thornton,4.6,0.089,24,1.5,0.416,114,23.1,3.1,9,3.1,10.8
-1,Marcus Thornton,3.5,0.055,24.2,1.3,0.375,110,19.7,3.2,7.3,1,8.9
-1,Marcus Thornton,2.9,0.083,15,1,0.467,106,24.1,2.6,8.2,0.6,7.2
-1,Marcus Thornton,3.5,0.074,18.2,1.1,0.333,110,24.4,4,12.9,1,8.9
-1,Brandan Wright,1.6,0.099,10.2,0.6,0.4,108,17.2,4.7,5.1,0.4,3.2
-1,Brandan Wright,2.9,0.215,16.1,1.1,0.373,100,17,4,2.9,2.2,4.8
-1,Brandan Wright,3.8,0.172,18,0.9,0.56,105,19,3.5,5.6,2.8,6.3
-1,Brandan Wright,3.9,0.227,18.6,1.3,0.495,107,17.4,4.5,4.7,4.1,5.7
-1,Brandan Wright,3.1,0.202,19.3,1,0.45,104,13.6,3.5,4.4,4.3,4.8
-1,Brandan Wright,2.9,0.147,17.7,1.1,0.556,106,15.4,5.1,4.7,0.4,4.3
1,Deron Williams,6.6,0.142,37.9,5.4,0.414,112,25.8,4.1,45.9,6.2,15
1,Deron Williams,7.1,0.099,36.3,4.7,0.359,111,30.1,3.2,46.6,3.7,17.5
-1,Deron Williams,6.3,0.184,36.4,4.1,0.42,109,24.4,3.7,37.5,9.1,14.4
-1,Deron Williams,5,0.125,32.2,2.7,0.374,109,21.8,3.8,32.8,3.8,11.2
-1,Deron Williams,4.4,0.083,31.1,3,0.377,109,22.3,3.8,33.7,2.3,11.3
-1,Deron Williams,4.9,0.083,32.4,2.8,0.401,109,22,3.7,29.3,2.2,11.9
-1,Noah Vonleh,1.2,0.085,10.4,0.7,0.316,102,17.3,4,2.5,0.1,3
-1,Noah Vonleh,1.5,0.047,15.1,0.5,0.283,107,13,6.5,3.7,0,3.6
-1,C.J. Wilcox,0.8,-0.024,4.8,0.1,0.5,109,21.8,3.5,12,-0.1,1.8
-1,C.J. Wilcox,1.1,0.089,7.3,0.4,0,104,19.8,4.5,9.4,0.1,2.9
1,Russell Westbrook,7.5,0.159,34.7,6.5,0.306,107,31.6,3.8,42.7,6.3,17
1,Russell Westbrook,8.8,0.163,35.3,5.2,0.358,105,32.7,3.3,29.8,5.5,19.2
1,Russell Westbrook,8.2,0.195,34.9,5.6,0.289,103,32.8,3.4,38.4,7.7,18.7
-1,Russell Westbrook,7.5,0.178,30.7,5.3,0.264,102,34.4,3.7,40.2,3,17.2
1,Russell Westbrook,9.4,0.222,34.4,8.1,0.31,103,38.4,4,47,7.5,22
1,Russell Westbrook,8.2,0.245,34.4,5.8,0.409,103,31.6,3.6,49.6,10,18.1
-1,David West,7.5,0.152,35,3.8,0.459,104,25.8,4.5,12.7,4.4,14.9
-1,David West,5.3,0.147,29.2,2.2,0.446,102,20.9,4.4,13.1,3.4,10.8
-1,David West,6.9,0.179,33.4,3.3,0.485,99,24.4,3.3,16.8,4.4,13.8
-1,David West,5.7,0.157,30.9,2.5,0.435,99,21.9,3.9,16.1,3.1,11.7
-1,David West,4.9,0.108,28.7,1.8,0.419,102,21,4.3,20.1,1.4,10.4
-1,David West,3.1,0.184,18,0.8,0.485,98,18,5.2,15.4,2.4,5.7
-1,Klay Thompson,4.8,0.05,24.4,1.2,0.217,111,24.7,5,14.2,1.4,10.9
-1,Klay Thompson,6.2,0.07,35.8,1.6,0.25,107,21.8,4.1,10.1,1.7,14.7
-1,Klay Thompson,6.9,0.112,35.4,1.8,0.378,106,22.6,4.1,10.2,3.5,15.5
1,Klay Thompson,7.8,0.172,31.9,2.9,0.345,104,27.6,2.4,14.6,5.7,16.9
1,Klay Thompson,8.1,0.144,33.3,2.4,0.336,107,26.3,2.8,9.8,5.4,17.3
-1,Tony Wroten,0.9,0.017,7.8,0.6,0.222,104,21.7,6.8,25.2,-0.2,2.5
-1,Tony Wroten,4.8,-0.025,24.5,2.9,0.284,111,27.7,4.1,20.9,-1.8,11.2
-1,Tony Wroten,5.8,0.014,29.8,4,0.254,106,30.5,4,34.9,-0.6,14.5
-1,Tony Wroten,2.8,-0.263,18,2.5,0,112,33.5,3.7,23.3,-0.8,8.1
-1,Thaddeus Young,5.6,0.139,26,1.5,0.397,104,22.1,4.2,6.7,3.2,10.3
-1,Thaddeus Young,5.5,0.171,27.9,1.8,0.417,100,21.5,3.9,7.3,3.4,10.9
-1,Thaddeus Young,6.7,0.136,34.6,1.4,0.454,103,19.8,3.8,8.2,3.7,12.6
-1,Thaddeus Young,7.4,0.062,34.4,2.1,0.374,108,24.1,3.8,11.8,1.2,16.2
-1,Thaddeus Young,5.9,0.061,32,1.7,0.404,109,21.5,3.6,12.4,1.6,12.7
-1,Thaddeus Young,6.8,0.081,33,1.4,0.497,107,21.6,3.8,9.5,1.9,13.2
-1,Derrick Williams,3.1,0.059,21.5,2.1,0.205,106,20.7,3.4,4.5,0.6,7.5
-1,Derrick Williams,4.3,0.076,24.6,2.5,0.191,105,23.5,3.4,4.2,1,10.1
-1,Derrick Williams,2.6,0.068,23.3,2.4,0.333,109,16.2,3.2,4.7,1.3,6.2
-1,Derrick Williams,2.9,0.069,19.8,1.8,0.311,112,18.9,2.3,5.6,1.7,6.6
-1,Derrick Williams,3.2,0.12,17.9,2.4,0.296,108,23.3,2.5,8.9,2.4,7.1
-1,Rashad Vaughn,1.2,-0.036,14.3,0.2,0.24,112,13.5,3.7,5.5,-1.2,3.8
-1,C.J. Watson,1.8,0.093,13.3,0.8,0.25,101,21.4,4,26.9,0.2,4.8
-1,C.J. Watson,3.3,0.109,23.7,1.7,0.326,101,22.8,4.8,27.2,0.8,8.9
-1,C.J. Watson,2.4,0.12,19,0.9,0.244,107,17.2,4.4,17.2,2.5,5.7
-1,C.J. Watson,2.3,0.13,18.9,1.1,0.35,100,16.6,2.9,14.4,1.1,5.3
