,fg3a_heave,dbpm,pts_per_poss,fg2a_per_poss,ft_pct,usg_pct,fg3_pct,gs,pct_fga_00_03,tov_per_g,pos,ows,ws,ast_per_g,fg3a_pct_fga,fga_per_poss,fg3_per_g,vorp,fg2_pct,tov_per_poss,fg2_pct_ast,per,mp,fg2a_per_g,off_rtg,stl_per_g,team_id,pts_per_g,pf_per_poss,fg_pct_16_xx,fg3a_per_fga_pct,pct_fga_03_10,blk_per_g,ws_per_48,drb_per_g,fg3_heave,fg3_per_poss,orb_per_g,stl_per_poss,fg_pct,fta_per_fga_pct,fg2a_pct_fga,pct_fg3a_corner,fg_pct_00_03,fg3_pct_ast,stl_pct,fg3a_per_g,ast_pct,mp_per_g,efg_pct,dws,orb_per_poss,blk_pct,trb_per_poss,age,ast_per_poss,avg_dist,year,fg_pct_10_16,fga_per_g,blk_per_poss,fg2_per_poss,fg3_pct_corner,fg3a_per_poss,drb_per_poss,ts_pct,ft_per_g,fg_pct_03_10,fg2_per_g,fg_per_g,bpm,g,trb_pct,ft_per_poss,lg_id,drb_pct,def_rtg,orb_pct,fg2_dunk,tov_pct,fta_per_poss,pf_per_g,name,fta_per_g,obpm,pct_fga_10_16,trb_per_g,pct_fg2_dunk,pct_fga_16_xx,fg_per_poss,allstar
12,0,-3.4,25.8,7.2,0.941,19.2,0.414,18,0.084,0.7,SG,1.3,1.3,1.1,0.624,19.2,2.6,0.3,0.522,1.3,0.457,15.7,450,3.7,125,0.3,LAL,13.3,5.3,0.63,0.624,0.039,0.4,0.134,2,0,5,0.4,0.5,0.455,0.191,0.376,0.261,0.733,0.935,0.5,6.2,7,25,0.584,0,0.8,1.3,4.6,31,2.2,20,2016-17,0.278,9.9,0.8,3.8,0.345,11.9,3.9,0.622,1.8,0.286,1.9,4.5,0.3,18,5.2,3.4,NBA,9,116,1.7,2,5.9,3.7,2.7,Nick Young,1.9,3.7,0.101,2.4,0.011,0.152,8.7,0
14,0,1.4,22.2,14.6,0.429,20.2,,0,0.52,1,PF,0.1,0.3,0.1,0,14.6,0,0,0.64,4.7,0.438,23.3,81,3.1,110,0.6,PHO,4.8,9.3,,0,0.36,0.9,0.165,2.6,0,0,2.1,2.9,0.64,0.56,1,,0.692,,2.9,0,2,10.1,0.64,0.2,9.9,6.9,22.2,24,0.6,4.4,2016-17,0.667,3.1,4.1,9.3,,0,12.3,0.61,0.8,0.556,2,2,-0.2,8,25.5,3.5,NBA,29.3,100,22,1,20.4,8.2,2,Alan Williams,1.8,-1.6,0.12,4.8,0.04,0,9.3,0
17,0,-3.6,30.8,19.3,0.763,28.2,0.376,22,0.251,2.6,SF,0.9,0.9,2.4,0.216,24.7,1.5,-0.3,0.453,3.6,0.336,15.5,804,14,105,0.5,MIN,22.4,3.1,0.402,0.216,0.145,0.4,0.054,2.9,0,2,1.2,0.8,0.437,0.386,0.784,0.082,0.616,0.563,0.8,3.9,11.2,36.5,0.477,0,1.6,0.9,5.6,21,3.3,13.2,2016-17,0.392,17.9,0.5,8.8,0.286,5.3,3.9,0.534,5.3,0.316,6.4,7.8,-3.4,22,6.4,7.3,NBA,9.5,115,3.6,16,11.2,9.5,2.2,Andrew Wiggins,6.9,0.2,0.129,4,0.046,0.259,10.8,0
24,1,0.7,17.9,16.3,0.763,19.5,0.241,21,0.348,1.4,PG,0.4,1.3,6.2,0.115,18.4,0.3,0.3,0.438,2.4,0.143,14.1,699,9.3,102,0.9,DET,10.3,3.1,0.4,0.115,0.237,0.4,0.088,2.8,0,0.5,0.3,1.5,0.415,0.15,0.885,0.138,0.511,0.714,1.5,1.2,31.9,29.1,0.429,0.9,0.5,1,5.3,28,10.9,10.2,2016-17,0.524,10.5,0.7,7.1,0.25,2.1,4.8,0.456,1.2,0.333,4.1,4.4,-0.3,24,5.6,2.1,NBA,10.1,104,1.1,2,10.9,2.8,1.8,Ish Smith,1.6,-0.9,0.083,3,0.008,0.217,7.7,0
32,0,1.7,13.7,12.2,0.591,17,0.333,19,0.341,2.7,PG,-0.2,0.7,7.1,0.173,14.7,0.5,0.3,0.413,4.3,0.203,12.6,592,7.5,95,1.4,CHI,8.5,3.9,0.34,0.173,0.156,0.3,0.054,5.6,0,0.8,1.1,2.2,0.399,0.127,0.827,0.5,0.492,1,2.2,1.6,33.3,31.2,0.428,0.9,1.7,0.8,10.7,30,11.4,11.7,2016-17,0.2,9.1,0.5,5,0.467,2.5,9,0.441,0.7,0.444,3.1,3.6,-0.1,19,11.1,1.1,NBA,18.6,103,3.6,0,21.8,1.9,2.4,Rajon Rondo,1.2,-1.8,0.058,6.6,0,0.272,5.9,0
36,1,3.1,15.8,9.9,0.737,13.1,0,0,0.833,0.4,C,0.4,0.7,0.1,0.028,10.1,0,0.2,0.6,2,0.667,17.2,186,1.8,123,0.4,UTA,2.8,7,1,0.028,0.056,0.8,0.193,1.5,0,0,0.9,2,0.583,0.528,0.972,0,0.6,,2,0.1,1.7,9.3,0.583,0.4,4.8,6.4,13,26,0.6,4.3,2016-17,1,1.8,4.2,5.9,,0.3,8.2,0.631,0.7,0,1.1,1.1,1.9,20,14.2,3.9,NBA,17,99,11,1,13.6,5.4,1.3,Jeff Withey,1,-1.2,0.056,2.3,0.028,0.028,5.9,0
43,0,-1.7,19.5,11.8,0.905,19.7,0.333,1,0.223,0.8,SG,0.1,0.4,1.3,0.385,19.2,1,-0.1,0.407,1.9,0.432,11.7,382,4.6,101,0.8,WAS,7.5,3.6,0.24,0.385,0.155,0.1,0.049,1.7,0,2.5,0.9,2.1,0.378,0.142,0.615,0.211,0.515,0.789,2.1,2.9,10.2,19.1,0.443,0.3,2.2,0.4,6.6,29,3.4,15.1,2016-17,0.5,7.4,0.3,4.8,0.167,7.4,4.4,0.477,1,0.391,1.9,2.8,-2.7,20,7.5,2.5,NBA,10.2,110,4.9,0,8.7,2.7,1.4,Marcus Thornton,1.1,-1,0.068,2.6,0,0.169,7.3,0
56,0,-3.1,21.4,11.7,0.88,23.4,0.306,13,0.122,2.4,PG,0.1,0.2,6.5,0.422,20.3,1.5,-0.1,0.447,4.3,0.263,12.7,377,6.5,100,0.3,DAL,11.9,4.3,0.452,0.422,0.116,0.2,0.029,2.2,0,2.6,0.2,0.6,0.388,0.17,0.578,0.129,0.389,0.842,0.6,4.8,40.7,29,0.452,0.1,0.3,0.5,4.3,32,11.7,17,2016-17,0.579,11.3,0.3,5.2,0.625,8.6,4,0.491,1.7,0.353,2.9,4.4,-3.5,13,4.7,3,NBA,9.5,112,0.6,0,16.4,3.4,2.4,Deron Williams,1.9,-0.4,0.129,2.4,0,0.211,7.9,0
59,0,-1.2,12.7,7.2,0.818,15.2,0.316,1,0.191,0.8,PF,-0.3,-0.1,0.2,0.404,12.2,0.3,-0.3,0.393,3.6,0.727,6.4,189,1.6,84,0.2,POR,2.7,6.7,0.6,0.404,0.277,0.4,-0.027,2.6,0,1.6,0.4,1,0.362,0.234,0.596,0.263,0.444,1,1,1.1,2.9,10.5,0.426,0.1,2.1,2.9,14,21,1,14.6,2016-17,0,2.6,1.8,2.8,0,4.9,11.9,0.473,0.5,0.308,0.6,0.9,-7.7,18,15.6,2.3,NBA,26.8,109,4.6,1,21.3,2.8,1.4,Noah Vonleh,0.6,-6.6,0.021,3,0.043,0.106,4.4,0
62,0,-3.2,8.3,1,1,11.8,0.25,0,0,0.3,SG,-0.1,0,0.6,0.889,9.3,0.2,-0.1,0,3.1,,2.8,49,0.1,83,0,ORL,0.9,1,0,0.889,0,0,-0.041,0.2,0,2.1,0.1,0,0.222,0.222,0.111,0.25,,1,0,0.9,14.6,5.4,0.333,0,1,0,3.1,26,5.2,24,2016-17,,1,0,0,0,8.3,2.1,0.405,0.2,,0,0.2,-8.5,9,3.3,2.1,NBA,4.4,113,2.2,0,23.3,2.1,0.1,C.J. Wilcox,0.2,-5.3,0,0.3,0,0.111,2.1,0
69,1,4.6,42.2,25.2,0.81,41,0.333,22,0.333,5.6,PG,2.4,3.6,11.3,0.232,32.8,1.9,3.2,0.456,7.6,0.151,29.8,785,18.5,110,1.3,OKC,31,3.3,0.324,0.232,0.083,0.4,0.223,8.6,0,2.5,2.2,1.8,0.427,0.437,0.768,0.114,0.582,0.39,1.8,5.6,58.6,35.7,0.466,1.3,3,0.8,14.8,28,15.4,12.2,2016-17,0.448,24.1,0.5,11.5,0.357,7.6,11.7,0.539,8.5,0.182,8.5,10.3,14.3,22,16.9,11.6,NBA,26.1,102,7.1,15,16.3,14.3,2.4,Russell Westbrook,10.5,9.7,0.218,10.9,0.036,0.134,14,0
76,0,2.8,17.6,14.1,0.7,18.8,0,0,0.301,1.1,PF,0.1,0.5,1.6,0.014,14.3,0,0.1,0.528,5.1,0.895,14.3,245,3.1,102,0.5,GSW,3.9,7.2,0.5,0.014,0.205,0.5,0.103,1.9,0,0,0.7,2.3,0.521,0.274,0.986,0,0.727,,2.3,0,19.6,10.7,0.521,0.4,3.3,3.8,11.7,36,7,10.2,2016-17,0.286,3.2,2.3,7.4,,0.2,8.4,0.55,0.6,0.4,1.7,1.7,0.4,23,13.4,2.7,NBA,17.9,102,8.2,3,24.1,3.9,1.6,David West,0.9,-2.4,0.096,2.6,0.041,0.384,7.4,0
