,Draft_Yr,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG_Perc,3P_Perc,FT_Perc,MP_per_G,PTS_per_G,TRB_per_G,AST_per_G,WS,WS_per_48,BPM,VORP,id
0,2002,1,HOU,Yao Ming,,8,486,15818,9247,4494,769,0.524,0.2,0.833,32.5,19.0,9.2,1.6,65.9,0.2,2.3,17.0,Y20021
1,2002,2,CHI,Jay Williams,Duke University,1,75,1961,714,195,350,0.39899999999999997,0.322,0.64,26.1,9.5,2.6,4.7,0.8,0.02,-2.2,-0.1,J20022
2,2002,3,GSW,Mike Dunleavy,Duke University,14,933,26499,10773,4096,2135,0.441,0.376,0.8029999999999999,28.4,11.5,4.4,2.3,57.0,0.10300000000000001,0.4,15.9,M20023
3,2002,4,MEM,Drew Gooden,University of Kansas,14,790,20127,8653,5618,896,0.462,0.257,0.76,25.5,11.0,7.1,1.1,43.9,0.105,-1.5,2.3,D20024
4,2002,5,DEN,Nikoloz Tskitishvili,,4,172,1946,507,307,114,0.304,0.235,0.73,11.3,2.9,1.8,0.7,-1.6,-0.039,-6.3,-2.1,N20025
5,2002,6,CLE,Dajuan Wagner,University of Memphis,4,103,2202,964,142,195,0.366,0.321,0.77,21.4,9.4,1.4,1.9,0.0,0.0,-5.6,-2.0,D20026
6,2002,7,NYK,Nene Hilario,,14,804,22735,9809,5247,1583,0.544,0.10300000000000001,0.665,28.3,12.2,6.5,2.0,65.2,0.138,2.1,23.4,N20027
7,2002,8,LAC,Chris Wilcox,University of Maryland,11,628,12474,5150,3076,455,0.541,0.0,0.643,19.9,8.2,4.9,0.7,26.9,0.10300000000000001,-1.6,1.2,C20028
8,2002,9,PHO,Amar'e Stoudemire,,14,846,26254,15994,6632,1050,0.537,0.23600000000000002,0.7609999999999999,31.0,18.9,7.8,1.2,92.5,0.16899999999999998,0.5,16.8,A20029
9,2002,10,MIA,Caron Butler,University of Connecticut,14,881,28333,12430,4387,2007,0.434,0.348,0.847,32.2,14.1,5.0,2.3,50.9,0.086,0.2,15.9,C200210
10,2002,11,WAS,Jared Jeffries,Indiana University,11,629,13579,3003,2563,798,0.426,0.25,0.583,21.6,4.8,4.1,1.3,13.1,0.046,-0.9,3.8,J200211
11,2002,12,LAC,Melvin Ely,"California State University, Fresno",9,375,6005,1992,1215,261,0.46,0.0,0.625,16.0,5.3,3.2,0.7,4.0,0.032,-3.6,-2.4,M200212
12,2002,13,MIL,Marcus Haislip,University of Tennessee,4,89,854,311,131,16,0.43700000000000006,0.35,0.659,9.6,3.5,1.5,0.2,0.5,0.026000000000000002,-6.2,-0.9,M200213
13,2002,14,IND,Fred Jones,University of Oregon,7,430,10299,3206,958,990,0.41100000000000003,0.353,0.809,24.0,7.5,2.2,2.3,16.5,0.077,-0.9,2.8,F200214
14,2002,15,HOU,Bostjan Nachbar,,6,317,5628,2252,836,283,0.406,0.375,0.784,17.8,7.1,2.6,0.9,8.7,0.07400000000000001,-2.3,-0.4,B200215
15,2002,16,PHI,Jiri Welsch,,4,247,4596,1519,602,375,0.40299999999999997,0.34299999999999997,0.752,18.6,6.1,2.4,1.5,5.7,0.059000000000000004,-2.1,-0.1,J200216
16,2002,17,WAS,Juan Dixon,University of Maryland,7,436,8509,3678,816,775,0.413,0.341,0.833,19.5,8.4,1.9,1.8,6.1,0.034,-3.0,-2.1,J200217
17,2002,18,ORL,Curtis Borchardt,Stanford University,2,83,1117,258,278,64,0.42100000000000004,0.0,0.742,13.5,3.1,3.3,0.8,1.0,0.040999999999999995,-2.4,-0.1,C200218
18,2002,19,UTA,Ryan Humphrey,University of Notre Dame,3,85,772,197,189,18,0.344,0.0,0.539,9.1,2.3,2.2,0.2,-0.4,-0.027000000000000003,-7.6,-1.1,R200219
19,2002,20,TOR,Kareem Rush,University of Missouri,7,346,5956,2213,572,353,0.4,0.358,0.703,17.2,6.4,1.7,1.0,1.7,0.013000000000000001,-4.1,-3.2,K200220
20,2002,21,POR,Qyntel Woods,Northeast Mississippi Community College,4,167,2060,691,385,105,0.452,0.35700000000000004,0.603,12.3,4.1,2.3,0.6,1.4,0.032,-3.0,-0.5,Q200221
21,2002,22,PHO,Casey Jacobsen,Stanford University,4,287,5320,1488,516,304,0.39299999999999996,0.35200000000000004,0.769,18.5,5.2,1.8,1.1,6.2,0.055999999999999994,-2.3,-0.4,C200222
22,2002,23,DET,Tayshaun Prince,University of Kentucky,14,1017,31576,11272,4332,2406,0.455,0.36700000000000005,0.7559999999999999,31.0,11.1,4.3,2.4,63.1,0.096,0.1,16.6,T200223
23,2002,24,NJN,Nenad Krstic,,7,419,10547,4210,2261,346,0.494,0.14300000000000002,0.73,25.2,10.0,5.4,0.8,21.5,0.098,-2.6,-1.5,N200224
24,2002,25,DEN,Frank Williams,University of Illinois at Urbana-Champaign,3,86,952,253,77,166,0.35200000000000004,0.3,0.833,11.1,2.9,0.9,1.9,0.1,0.003,-5.0,-0.7,F200225
25,2002,26,SAS,John Salmons,University of Miami,13,895,23672,8292,2603,2183,0.431,0.366,0.799,26.4,9.3,2.9,2.4,33.9,0.069,-1.0,5.8,J200226
26,2002,27,LAL,Chris Jefferies,"California State University, Fresno",2,72,861,281,88,29,0.38299999999999995,0.365,0.667,12.0,3.9,1.2,0.4,-0.5,-0.03,-6.3,-0.9,C200227
27,2002,28,SAC,Dan Dickau,Gonzaga University,6,300,4617,1745,405,752,0.401,0.341,0.831,15.4,5.8,1.4,2.5,5.9,0.061,-2.3,-0.4,D200228
30,2002,29,GSW,Steve Logan,University of Cincinnati,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S200229
31,2002,30,CHI,Roger Mason,University of Virginia,10,518,9147,3289,897,677,0.408,0.38299999999999995,0.866,17.7,6.3,1.7,1.3,13.0,0.068,-1.8,0.5,R200230
32,2002,31,MEM,Robert Archibald,University of Illinois at Urbana-Champaign,2,44,328,51,69,16,0.28300000000000003,0.0,0.429,7.5,1.2,1.6,0.4,0.0,-0.004,-5.0,-0.2,R200231
33,2002,32,DEN,Vincent Yarbrough,University of Tennessee,1,59,1381,406,162,130,0.39299999999999996,0.26899999999999996,0.79,23.4,6.9,2.7,2.2,1.0,0.035,-2.4,-0.1,V200232
34,2002,33,MIL,Dan Gadzuric,"University of California, Los Angeles",10,527,7793,2465,2326,196,0.5,0.0,0.498,14.8,4.7,4.4,0.4,15.8,0.09699999999999999,-1.3,1.3,D200233
35,2002,34,CLE,Carlos Boozer,Duke University,13,861,26901,13976,8192,1928,0.521,0.071,0.722,31.2,16.2,9.5,2.2,80.3,0.14300000000000002,1.2,22.1,C200234
36,2002,35,NYK,Milos Vujanic,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M200235
37,2002,36,ATL,David Andersen,,2,103,1264,501,292,57,0.44,0.34700000000000003,0.674,12.3,4.9,2.8,0.6,1.5,0.059000000000000004,-4.2,-0.7,D200236
38,2002,37,HOU,Tito Maddox,"California State University, Fresno",1,9,35,11,7,5,0.25,0.0,0.625,3.9,1.2,0.8,0.6,0.0,-0.011000000000000001,-2.2,0.0,T200237
39,2002,38,WAS,Rod Grizzard,University of Alabama,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R200238
40,2002,39,WAS,Juan Carlos Navarro,,1,82,2117,896,210,177,0.402,0.361,0.8490000000000001,25.8,10.9,2.6,2.2,1.4,0.031,-2.3,-0.1,J200239
41,2002,40,LAC,Mario Kasun,,2,73,569,198,188,11,0.467,0.0,0.636,7.8,2.7,2.6,0.2,0.8,0.069,-5.9,-0.6,M200240
42,2002,41,MIL,Ronald Murray,Shaw University,8,487,11077,4817,1006,1096,0.414,0.304,0.725,22.7,9.9,2.1,2.3,8.5,0.037000000000000005,-2.9,-2.6,R200241
43,2002,42,POR,Jason Jennings,Arkansas State University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,J200242
