,name,height,weight,dob,age,position,wing_span,standing_reach,body_fat,no_step_vert,max_vert,gp,min,pts,fg,fga,fg_perc,2pt,2pta,2p_perc,3pt,3pta,3p_perc,FTM,FTA,FT_perc,off_reb,def_reb,tot_reb,ast,stl,blks,to,pf
0,Brandon Ingram,81,196,09/02/1997,18,SF,87.0,109.5,0.0,0.0,0.0,36.0,34.6,20.1,6.9,15.6,44.2,4.3,9.3,46.4,2.6,6.3,41.0,3.7,5.5,68.2,2.2,5.7,7.9,2.3,1.3,1.6,2.3,2.4
1,Ben Simmons,82,239,07/20/1996,19,SF,84.25,108.5,7.9,37.0,41.5,33.0,34.9,20.7,7.1,12.6,56.0,7.0,12.5,56.1,0.0,0.1,33.3,6.5,9.7,67.0,3.4,9.5,12.9,5.2,2.1,0.9,3.4,2.9
2,Jaylen Brown,79,222,10/24/1996,19,SF,84.5,105.0,0.0,0.0,0.0,34.0,27.6,21.2,7.0,16.1,43.1,5.7,11.8,48.2,1.3,4.4,29.4,6.1,9.3,65.4,1.5,6.2,7.8,2.9,1.2,0.9,4.5,4.6
3,Kris Dunn,76,205,03/18/1994,22,PG,81.0,0.0,0.0,0.0,0.0,33.0,33.0,19.6,6.7,14.9,44.8,5.1,10.8,47.7,1.5,4.1,37.2,4.8,6.9,69.5,1.3,5.1,6.4,7.5,3.0,0.7,4.2,3.4
4,Jamal Murray,77,201,02/23/1997,19,PG,78.5,97.0,7.2,33.5,39.5,36.0,35.2,22.9,7.7,17.1,45.4,4.2,8.3,50.2,3.6,8.8,40.8,3.8,4.8,78.3,1.7,4.2,5.9,2.5,1.1,0.3,2.7,2.4
5,Buddy Hield,76,214,12/17/1993,22,SG,80.5,0.0,0.0,0.0,0.0,37.0,35.4,27.3,8.9,17.7,50.1,4.5,8.2,55.2,4.3,9.5,45.7,5.2,5.9,88.0,1.4,4.9,6.2,2.2,1.2,0.5,3.3,2.2
6,Jakob Poeltl,85,242,10/15/1995,20,C,85.0,0.0,0.0,0.0,0.0,35.0,30.6,22.9,8.4,13.1,64.0,8.4,13.1,64.0,0.0,0.0,0.0,6.1,8.8,69.4,3.7,8.4,12.1,2.5,0.8,2.0,2.7,3.1
7,Henry Ellenson,82,231,01/13/1997,19,PF,85.5,108.0,0.0,0.0,0.0,33.0,33.5,19.1,6.6,14.8,44.6,5.6,11.3,49.5,1.0,3.5,28.8,4.9,6.5,74.9,2.4,8.7,11.1,2.0,0.9,1.7,2.7,2.9
8,Skal Labissiere,84,216,03/18/1996,20,PF,86.0,108.0,8.8,31.0,35.0,36.0,15.8,16.8,7.0,13.5,51.6,7.0,13.3,52.1,0.0,0.1,0.0,2.9,4.4,66.1,2.5,5.5,8.0,0.8,0.6,4.2,2.3,7.7
9,Demetrius Jackson,73,194,09/07/1994,21,PG,76.75,96.0,0.0,0.0,0.0,35.0,36.0,18.7,6.5,14.5,45.1,4.7,9.0,52.5,1.8,5.5,33.1,3.8,4.7,81.3,1.0,3.1,4.1,5.5,1.5,0.3,2.6,2.3
