x,y,name
0.825030597,0.649388362,Kyrie Irving
0.484035466,0.384527373,J.R. Smith
1,0.691009246,LeBron James
0.355833012,0.388501658,Archie Goodwin
0.181102922,0.230843889,Quincy Acy
0.290249678,0.604853437,John Lucas III
0.703591139,0.741501789,Ty Lawson
0,0.086914822,Metta World Peace
0.297739183,0.07690621,JaVale McGee
0.309227039,0.321909515,Alan Anderson
0.489042678,0.573099751,Jerryd Bayless
0.525144367,0.395669153,Dion Waiters
0.293138614,0.197518869,Kevin Seraphin
0.126597307,0.352036094,Damjan Rudez
0.499736883,0.634363338,Beno Udrih
0.308569449,0.225724524,Tyler Zeller
0.016210792,0.300925455,Steve Novak
0.265496009,0.350979896,Ryan Kelly
0.29695666,0.180435203,Kris Humphries
0.675619464,0.077428344,Dwight Howard
0.321550895,0.401251371,Kent Bazemore
0.556118366,0.255329575,Paul Millsap
0.173076433,0.264497499,Mike Muscala
0.348554041,0.242975489,Tiago Splitter
0.37180503,0.354432924,Kyle Korver
0.296145225,0.325299691,Thabo Sefolosha
0.311683484,0.346623048,Tim Hardaway
0.637718257,0.780663911,Dennis Schroder
0.261386361,0.321334314,Mike Scott
0.467627385,0.258727038,Jared Sullinger
0.635075432,0.337770302,DeMar DeRozan
0.348972031,0.529769065,Cory Joseph
0.286143293,0.269416143,DeMarre Carroll
0.286778806,0.2717157,Terrence Ross
0.415227607,0.085498543,Jonas Valanciunas
0.719523993,0.672947466,Kyle Lowry
0.302283719,0.256628321,Patrick Patterson
0.393340054,0.626757747,Brian Roberts
0.391555824,0.234794839,Marvin Williams
0.470474106,0.191317686,Roy Hibbert
0.619043419,0.689698481,Ramon Sessions
0.551575327,0.414421432,Nicolas Batum
0.352643083,0.375089005,Marco Belinelli
0.4361449,0.325354634,Spencer Hawes
0.268526409,0.37673448,Jeremy Lamb
0.34101543,0.245968356,Cody Zeller
0.764174764,0.648961702,Kemba Walker
0.389480375,0.224897496,Michael Kidd-Gilchrist
0.370731987,0.423401234,Isaiah Canaan
0.942191638,0.623609921,Dwyane Wade
0.872089706,0.894817196,Rajon Rondo
0.318400801,0.115085827,Robin Lopez
0.524062994,0.351458958,Jimmy Butler
0.190799424,0.274717515,Doug McDermott
0.829284698,0.672458209,Michael Carter-Williams
0.39509219,0.286738847,Nikola Mirotic
0.388750252,0.155102106,Taj Gibson
0.117100699,0.385375159,Jason Terry
0.229363768,0.135120808,Miles Plumlee
0.432778375,0.623036347,Matthew Dellavedova
0.285481129,0.289668422,Mirza Teletovic
0.484894534,0.259875847,Michael Beasley
0.586900086,0.245584088,Greg Monroe
0.523963949,0.385817857,Khris Middleton
0.505740075,0.236555672,Jabari Parker
0.589311339,0.371336019,Giannis Antetokounmpo
0.3655193,0.200105833,John Henson
0.201371647,0.327891264,Tony Snell
0.356879599,0.292675503,Gerald Green
0.571814113,0.30553196,Al Horford
0.356098699,0.193015026,Amir Johnson
0.25422472,0.221077021,Jonas Jerebko
0.2728877,0.312186428,Jae Crowder
0.464008148,0.422162827,Marcus Smart
0.726994332,0.661326422,Isaiah Thomas
0.417646063,0.311993215,Kelly Olynyk
0.427378258,0.316295025,Avery Bradley
0.47971347,0.006946966,Andre Drummond
0.524172758,0.823541627,Ish Smith
0.215259879,0.276895776,Jon Leuer
0.63124668,0.695158804,Reggie Jackson
0.451587058,0.263176564,Tobias Harris
0.238356901,0.181904991,Aron Baynes
0.375875897,0.289631077,Marcus Morris
0.010902012,0.339232819,Reggie Bullock
0.37354962,0.265004342,Kentavious Caldwell-Pope
0.195613838,0.247349232,Anthony Bennett
0.488963412,0.475570701,Randy Foye
0.63519201,0.796404031,Greivis Vasquez
0.479713939,0.262186257,Luis Scola
0.292395328,0.201768121,Trevor Booker
0.652660193,0.623968445,Jeremy Lin
0.601388851,0.143809806,Brook Lopez
0.346853241,0.26523461,Bojan Bogdanovic
0.424964172,0.377490032,Evan Fournier
0.56116922,0.685497564,D.J. Augustin
0.501636081,0.245226913,Jeff Green
0.249935834,0.091945261,Bismack Biyombo
0.547378007,0.225442325,Nikola Vucevic
0.395297652,0.527439247,C.J. Watson
0.730563572,0.727476316,Elfrid Payton
0.32291637,0.272790738,Aaron Gordon
0.394471285,0.080380484,Serge Ibaka
0.297482148,0.298508233,Jodie Meeks
0.546158299,0.596746543,Aaron Brooks
0.546133617,0.202565439,Al Jefferson
0.612432321,0.5272965,Rodney Stuckey
0.243778758,0.241692399,Lavoy Allen
0.745862916,0.500922458,Monta Ellis
0.48638602,0.22183915,Thaddeus Young
0.698397551,0.751356525,Jeff Teague
0.659406909,0.400315578,Paul George
0.339764444,0.317116537,C.J. Miles
0.226071295,0.42278332,Sasha Vujacic
0.748032542,0.685192685,Brandon Jennings
0.216614918,0.248772538,Lance Thomas
0.358592595,0.320989508,Courtney Lee
0.560554629,0.306627246,Joakim Noah
0.193612318,0.393549869,Justin Holiday
0.316261025,0.312113117,Kyle O'Quinn
