name,blk_per_g,drb_per_g,pts_per_g,fg2_pct,ast_per_g,gs,pf_per_g,fg3_per_g,fta_per_g,fg_pct,mp_per_g,fg3a_per_g,efg_pct,tov_per_g,ft_per_g,ft_pct,stl_per_g,fg3_pct,fg2_per_g,g,fg2a_per_g,trb_per_g,orb_per_g,fg_per_g,fga_per_g
Kyrie Irving,0.3,2.7,20.8,0.481,5.5,316,2.2,1.8,4.5,0.452,34,4.7,0.505,2.8,3.9,0.866,1.3,0.378,5.8,316,12.1,3.4,0.7,7.6,16.8
J.R. Smith,0.2,2.7,13.1,0.466,2.2,302,2.3,2,2.3,0.422,26.9,5.4,0.512,1.4,1.7,0.734,1,0.375,2.7,846,5.8,3.2,0.5,4.7,11.2
LeBron James,0.8,6,27.2,0.538,6.9,993,1.9,1.4,8.3,0.498,39,4,0.532,3.4,6.2,0.744,1.7,0.339,8.4,994,15.7,7.2,1.2,9.8,19.7
Archie Goodwin,0.2,1.5,6.2,0.474,1.2,15,1.2,0.3,2.2,0.419,14.5,1.2,0.444,1.3,1.5,0.689,0.4,0.227,1.9,150,4.1,2,0.5,2.2,5.3
Quincy Acy,0.4,2.4,4.5,0.529,0.6,51,1.9,0.2,1.2,0.494,15.2,0.6,0.521,0.6,0.9,0.752,0.4,0.323,1.5,224,2.9,3.5,1.1,1.7,3.5
John Lucas III,0,0.8,4.8,0.409,1.5,8,0.8,0.7,0.4,0.383,12.2,2,0.452,0.5,0.3,0.768,0.4,0.344,1.2,239,3,1,0.2,1.9,5
Ty Lawson,0.1,2.1,12.9,0.49,6.2,328,1.6,0.9,3.6,0.459,29.8,2.5,0.504,2.1,2.7,0.765,1.2,0.364,3.7,491,7.6,2.8,0.6,4.6,10.1
Troy Williams,0.2,0.2,3.4,0.571,0.4,1,1.4,0.2,1.8,0.455,9.8,0.8,0.5,0.6,1.2,0.667,0.8,0.25,0.8,5,1.4,0.4,0.2,1,2.2
Metta World Peace,0.5,3.4,13.4,0.447,2.7,838,2.7,1.2,3.7,0.415,32.3,3.5,0.466,1.8,2.6,0.715,1.8,0.34,3.6,970,8.1,4.6,1.2,4.8,11.5
Nicolas Laprovittola,0,0.9,3.6,0.5,1.7,0,1.1,0.6,0.7,0.381,11.7,1.9,0.476,1.1,0.7,1,0.1,0.308,0.6,7,1.1,1,0.1,1.1,3
Semaj Christon,0.1,1.4,4.1,0.4,2.9,0,1.5,0.1,0.6,0.366,17.1,0.8,0.378,0.9,0.3,0.4,0.5,0.167,1.8,8,4.4,1.9,0.5,1.9,5.1
JaVale McGee,1.7,3.3,8.1,0.543,0.3,160,2.3,0,2.2,0.542,19,0,0.543,1,1.3,0.581,0.4,0.167,3.4,421,6.3,5.3,2,3.4,6.3
Alan Anderson,0.1,1.8,7.8,0.457,1.2,66,1.9,1.1,1.6,0.406,21.6,3.1,0.485,0.9,1.3,0.818,0.6,0.345,1.6,301,3.6,2.3,0.5,2.7,6.7
